[2026-03-29T13:42:50.517Z] GET https://help.onekey.so/en/collections/18871692-onekey-perps → 200 (854ms, ?B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:43:06.454Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (1ms, 77B)
[2026-03-29T13:43:06.455Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:43:06.455Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2139700922/b5c02f38d738086f26ead9a36d06/image.png?expires=1774793700&signature=061f28f17edfc55eb7ee76722986db1e25bbc18b840945639f525d3159a644ac&req=diEkH85%2BnYhdW%2FMW1HO4zeQAVLVmePOfxCnL4PHdHf%2B8srgn1sXIJTU%2BcE1q%0AYP%2FRHUzNRD8ziY2czCk%3D%0A → 200 (512ms, 683386B)
[2026-03-29T13:43:06.455Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2140036972/f9b7953c7ea6e8d239752e18d612/image.png?expires=1774793700&signature=ad074930f9565f41e3a401d596d07673876dc30d1e1ceba2d458684da25ed672&req=diEjFsl9m4hYW%2FMW1HO4zWz8rBto0gpQeC8eWt9s5Xn%2BJcjVXiRy5Vz7i3Hx%0AnJRu%0A → 200 (335ms, 1089691B)
[2026-03-29T13:43:06.455Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (1ms, 342B)
[2026-03-29T13:43:06.456Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:43:06.456Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:43:06.474Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:43:06.550Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:43:06.995Z] GET https://widget.intercom.io/widget/vbbj4ssb → 304 (82ms, ?B)
[2026-03-29T13:43:11.580Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791786549&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938466~115938469~117384405~117484252~118128922&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13987899-onekey-perps-introduction&dr=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20Introduction%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5545 → 204 (84ms, ?B)
[2026-03-29T13:43:16.093Z] GET https://help.onekey.so/en/collections/18871692-onekey-perps → pending (?ms, ?B)
[2026-03-29T13:43:16.479Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791786549&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938466~115938469~117384405~117484252~118128922&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13987899-onekey-perps-introduction&dr=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20Introduction%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=9898&tfd=10445 → pending (?ms, ?B)
[2026-03-29T13:43:16.481Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:43:16.481Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:43:16.481Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (1ms, 7281B)
[2026-03-29T13:43:16.482Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:43:16.482Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:43:16.482Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:43:16.482Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:43:16.482Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:43:16.483Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:43:16.483Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:43:16.483Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/collections/%5BcollectionSlug%5D-1eac9c62100500a1.js → 200 (?ms, 2112B)
[2026-03-29T13:43:16.483Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:43:16.483Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (?ms, 77B)
[2026-03-29T13:43:16.483Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:43:16.484Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:43:16.484Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:43:16.484Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:43:16.488Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:43:16.511Z] GET https://widget.intercom.io/widget/vbbj4ssb → 304 (98ms, ?B)
[2026-03-29T13:43:16.511Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:43:21.528Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791796510&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938466~115938468~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5431 → 204 (86ms, ?B)
[2026-03-29T13:44:42.599Z] GET https://help.onekey.so/en/articles/13988073-perps-deposit-withdrawal-and-settlement-currency → 200 (741ms, 83723B)
[2026-03-29T13:44:43.344Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791796510&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115938466~115938468~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Fcollections%2F18871692-onekey-perps&dt=OneKey%20Perps%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=86817&tfd=87250 → pending (?ms, ?B)
[2026-03-29T13:44:43.347Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (?ms, 121499B)
[2026-03-29T13:44:43.347Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (?ms, 7281B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:44:43.348Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (?ms, 14060B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:44:43.349Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (?ms, 77B)
[2026-03-29T13:44:43.349Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (1ms, 3572B)
[2026-03-29T13:44:43.350Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2140051843/bb0186272de5b028538877d38fbd/CleanShot+2026-03-08+at+14_15_02.png?expires=1774793700&signature=4c33c2260ed8b4b71aedc879d08ee286b1e75695e6e32bb729451392291d4564&req=diEjFsl7nIlbWvMW1HO4zektclpLkLw6gvbqv3HzYWJ282HJdINPXZR89ilC%0A1fdRz7l32lxcJnsX7cw%3D%0A → pending (?ms, ?B)
[2026-03-29T13:44:43.354Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:44:43.493Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:44:43.494Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (?ms, 1715B)
[2026-03-29T13:44:43.494Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:44:43.494Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/2140070497/7560982207d4d5ca6aa443322c69/CleanShot+2026-03-08+at+14_28_28.png?expires=1774793700&signature=e7a5f3d45e5c7d937ac5884a87944aa338b4a6e835087ce3da7666c71a64dc00&req=diEjFsl5nYVWXvMW1HO4zaQ1HprhdjGfaJTQTbW4bSpnc%2BZVWlysNHxntq%2FR%0A53Fo7SP4F1AAatz3ccA%3D%0A → pending (?ms, ?B)
[2026-03-29T13:44:43.517Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, ?B)
[2026-03-29T13:44:44.637Z] GET https://widget.intercom.io/widget/vbbj4ssb → 200 (?ms, 7614B)
[2026-03-29T13:44:48.533Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791883516&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115616985~115938465~115938469~117484252~118128923&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988073-perps-deposit-withdrawal-and-settlement-currency&dt=Perps%20Deposit%2C%20Withdrawal%2C%20and%20Settlement%20Currency%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5932 → 204 (83ms, ?B)
[2026-03-29T13:44:51.425Z] GET https://help.onekey.so/en/articles/13988593-trading-fee-explanation → pending (?ms, ?B)
[2026-03-29T13:44:51.946Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791883516&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=2&tag_exp=0~115616985~115938465~115938469~117484252~118128923&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988073-perps-deposit-withdrawal-and-settlement-currency&dt=Perps%20Deposit%2C%20Withdrawal%2C%20and%20Settlement%20Currency%20%7C%20OneKey%20Help%20Center&en=user_engagement&_et=8409&tfd=9344 → pending (?ms, ?B)
[2026-03-29T13:44:51.947Z] GET https://static.intercomassets.com/_next/static/css/7aa380e246027379.css → 200 (1ms, 121499B)
[2026-03-29T13:44:51.948Z] GET https://static.intercomassets.com/_next/static/chunks/3239.a4c58c454a432c9d.js → 200 (?ms, 738B)
[2026-03-29T13:44:51.948Z] GET https://static.intercomassets.com/_next/static/chunks/webpack-91a70bfac3e894a6.js → 200 (1ms, 7281B)
[2026-03-29T13:44:51.949Z] GET https://static.intercomassets.com/_next/static/chunks/framework-33e5c49ad19d2154.js → 200 (?ms, 140218B)
[2026-03-29T13:44:51.949Z] GET https://static.intercomassets.com/_next/static/chunks/main-9d16aa381a4ba2b3.js → 200 (?ms, 126284B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/pages/_app-9c7e0b5e76368645.js → 200 (?ms, 186124B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/d0502abb-2e7237eac63bcefa.js → 200 (?ms, 222332B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/6190-fa2e83ad71037038.js → 200 (?ms, 25089B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/5729-06d49bf238b8afad.js → 200 (?ms, 16700B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/9773-5a086f695f962dd4.js → 200 (?ms, 59309B)
[2026-03-29T13:44:51.950Z] GET https://static.intercomassets.com/_next/static/chunks/5229-1c969b1c1bf02351.js → 200 (1ms, 14060B)
[2026-03-29T13:44:51.951Z] GET https://static.intercomassets.com/_next/static/chunks/9623-24053b3bfee8e014.js → 200 (?ms, 15722B)
[2026-03-29T13:44:51.951Z] GET https://static.intercomassets.com/_next/static/chunks/pages/%5BhelpCenterIdentifier%5D/%5Blocale%5D/articles/%5BarticleSlug%5D-350df4f41556353f.js → 200 (?ms, 666B)
[2026-03-29T13:44:51.951Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_buildManifest.js → 200 (?ms, 3718B)
[2026-03-29T13:44:51.951Z] GET https://static.intercomassets.com/_next/static/SvKq4OdmikVDfqrxc9cvo/_ssgManifest.js → 200 (1ms, 77B)
[2026-03-29T13:44:51.952Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724255/5310710a49a60bc93b076c653f1a/6132e5329ac62ebed719f8573a56d1f5.png → 200 (?ms, 3572B)
[2026-03-29T13:44:51.952Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-twitter-x/909aa5 → 200 (?ms, 342B)
[2026-03-29T13:44:51.952Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-instagram/909aa5 → 200 (1ms, 1715B)
[2026-03-29T13:44:51.953Z] GET https://intercom.help/onekeyhq/assets/svg/icon:social-youtube/909aa5 → 200 (?ms, 602B)
[2026-03-29T13:44:51.956Z] GET https://downloads.intercomcdn.com/i/o/vbbj4ssb/724550/89ab36a0903678739cbacb1c70f5/076c22a7679141346852332fdc987558.png → 200 (?ms, 756550B)
[2026-03-29T13:44:51.987Z] GET https://widget.intercom.io/widget/vbbj4ssb → 200 (?ms, 7614B)
[2026-03-29T13:44:51.987Z] GET https://www.googletagmanager.com/gtag/js?id=G-Q1BFJRQENS → 200 (?ms, 464615B)
[2026-03-29T13:44:57.001Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-Q1BFJRQENS&gtm=45je63p1v9222679051za200zd9222679051&_p=1774791891985&gcd=13l3l3l3l1l1&npa=0&dma=0&cid=1230451128.1774791773&ul=en-us&sr=1280x720&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uamb=0&uam=&uap=macOS&uapv=26.4.0&uaw=0&are=1&frm=0&pscdl=noapi&_eu=AAAAAAQ&_s=1&tag_exp=0~115938465~115938468~117266402~117484252&sid=1774791772&sct=1&seg=1&dl=https%3A%2F%2Fhelp.onekey.so%2Fen%2Farticles%2F13988593-trading-fee-explanation&dt=Trading%20Fee%20Explanation%20%7C%20OneKey%20Help%20Center&en=page_view&_ee=1&tfd=5575 → 204 (85ms, ?B)
[2026-03-29T13:45:00.317Z] GET https://help.onekey.so/en/articles/13988742-completing-an-open-position-operation → pending (?ms, ?B)
